2024-06-13 14:00:19,343 - root - INFO - Epoch 28; loss: 10.546948432922363; CER: 0.8666853904724121; WER: 1.0; val_loss: 10.588289260864258; val_CER: 0.881313145160675; val_WER: 1.0
2024-06-13 14:00:35,880 - root - INFO - Epoch 29; loss: 10.525659561157227; CER: 0.8748591542243958; WER: 1.0; val_loss: 10.721689224243164; val_CER: 0.8695286512374878; val_WER: 1.0
2024-06-13 14:00:52,372 - root - INFO - Epoch 30; loss: 10.528322219848633; CER: 0.8676249384880066; WER: 1.0; val_loss: 10.601308822631836; val_CER: 0.8695286512374878; val_WER: 1.0
2024-06-13 14:01:08,955 - root - INFO - Epoch 31; loss: 10.501513481140137; CER: 0.8688462972640991; WER: 1.0; val_loss: 10.665057182312012; val_CER: 0.869528591632843; val_WER: 1.0
2024-06-13 14:01:25,499 - root - INFO - Epoch 32; loss: 10.4318208694458; CER: 0.865933895111084; WER: 1.0; val_loss: 10.61892318725586; val_CER: 0.8670033812522888; val_WER: 1.0
2024-06-13 14:01:41,902 - root - INFO - Epoch 33; loss: 10.360087394714355; CER: 0.8620819449424744; WER: 1.0; val_loss: 10.439806938171387; val_CER: 0.8737373948097229; val_WER: 1.0
2024-06-13 14:01:58,998 - root - INFO - Epoch 34; loss: 10.255631446838379; CER: 0.8464862704277039; WER: 1.0; val_loss: 10.517553329467773; val_CER: 0.8425926566123962; val_WER: 1.0
2024-06-13 14:02:15,668 - root - INFO - Epoch 35; loss: 10.154715538024902; CER: 0.8061819076538086; WER: 1.0; val_loss: 10.276865005493164; val_CER: 0.7643097639083862; val_WER: 1.0
2024-06-13 14:02:31,831 - root - INFO - Epoch 36; loss: 10.020280838012695; CER: 0.7845734357833862; WER: 0.9988725781440735; val_loss: 10.047099113464355; val_CER: 0.7668349742889404; val_WER: 1.0
2024-06-13 14:02:48,539 - root - INFO - Epoch 37; loss: 9.868070602416992; CER: 0.7798759937286377; WER: 1.0; val_loss: 10.10883903503418; val_CER: 0.7575757503509521; val_WER: 1.0
2024-06-13 14:03:04,790 - root - INFO - Epoch 38; loss: 9.755351066589355; CER: 0.7735813856124878; WER: 1.0; val_loss: 10.043609619140625; val_CER: 0.8114478588104248; val_WER: 1.0
2024-06-13 14:03:21,050 - root - INFO - Epoch 39; loss: 9.703686714172363; CER: 0.7876737713813782; WER: 1.0; val_loss: 9.985426902770996; val_CER: 0.7988215684890747; val_WER: 1.0
2024-06-13 14:03:37,197 - root - INFO - Epoch 40; loss: 9.659735679626465; CER: 0.7789364457130432; WER: 1.0; val_loss: 9.91372299194336; val_CER: 0.7988215684890747; val_WER: 1.0
2024-06-13 14:03:53,570 - root - INFO - Epoch 41; loss: 9.657407760620117; CER: 0.7801578640937805; WER: 1.0; val_loss: 9.801315307617188; val_CER: 0.7651515007019043; val_WER: 1.0
2024-06-13 14:04:09,849 - root - INFO - Epoch 42; loss: 9.643152236938477; CER: 0.7730177044868469; WER: 1.0; val_loss: 9.851089477539062; val_CER: 0.7904040217399597; val_WER: 1.0
2024-06-13 14:04:26,109 - root - INFO - Epoch 43; loss: 9.612007141113281; CER: 0.7810032963752747; WER: 1.0; val_loss: 9.790946006774902; val_CER: 0.8097642660140991; val_WER: 1.0
2024-06-13 14:04:42,491 - root - INFO - Epoch 44; loss: 9.602509498596191; CER: 0.7693535685539246; WER: 1.0; val_loss: 9.881000518798828; val_CER: 0.7693603038787842; val_WER: 1.0
2024-06-13 14:04:58,766 - root - INFO - Epoch 45; loss: 9.580945014953613; CER: 0.7666290998458862; WER: 1.0; val_loss: 9.806741714477539; val_CER: 0.8072391152381897; val_WER: 1.0
2024-06-13 14:05:15,249 - root - INFO - Epoch 46; loss: 9.587335586547852; CER: 0.7686020135879517; WER: 1.0; val_loss: 9.904671669006348; val_CER: 0.7575757503509521; val_WER: 1.0
2024-06-13 14:05:31,905 - root - INFO - Epoch 47; loss: 9.58800983428955; CER: 0.7714205980300903; WER: 0.9977452158927917; val_loss: 9.878263473510742; val_CER: 0.7550504803657532; val_WER: 1.0
2024-06-13 14:05:48,132 - root - INFO - Epoch 48; loss: 9.5863037109375; CER: 0.7782788276672363; WER: 1.0; val_loss: 9.739958763122559; val_CER: 0.7634680271148682; val_WER: 0.9898989796638489
2024-06-13 14:06:04,783 - root - INFO - Epoch 49; loss: 9.595105171203613; CER: 0.7715144157409668; WER: 1.0; val_loss: 9.828156471252441; val_CER: 0.7508417963981628; val_WER: 1.0
